DRAMA_PK,TITLE,AIR_YEAR,OG_NETWORK,EPISODES,RATING,AIR_DATE,AIR_ON,DURATION,CONTENT_RATING,GENRE,TAGS,PRODUCTION_CO,RANK
0,Move to Heaven,2021,Netflix,10,9.2,"May 14, 2021",Friday,52 min.,18+ Restricted (violence & profanity),"Life,  Drama,  Family ","Autism, Uncle-Nephew Relationship, Death, Savant Syndrome, Mourning, Tearjerker, Father-Son Relationship, Life Lesson, Ex-convict, Cleaning And Organizing","Page One Film, Number Three Pictures",1
1,Flower of Evil,2020,tvN,16,9.1,"Jul 29, 2020 - Sep 23, 2020","Wednesday,Thursday",1 hr. 10 min.,15+ - Teens 15 or older,"Thriller,  Romance,  Crime,  Melodrama ","Married Couple, Deception, Suspense, Family Secret, Hidden Personality, Smart Female Lead, Antisocial Personality Disorder, Investigation, Serial Killer, Psychopath",Monster Union,2
2,Hospital Playlist,2020,Netflix,12,9.1,"Mar 12, 2020 - May 28, 2020",Thursday,1 hr. 30 min.,15+ - Teens 15 or older,"Friendship,  Romance,  Life,  Medical ","Strong Friendship, Multiple Mains, Best Friends, Hospital, Slow Romance, Strong Female Lead, Multiple Couples, Slight Romance, Nice Male Lead, Bromance","Egg Is Coming, CJ ENM",3
2,Hospital Playlist,2020,tvN,12,9.1,"Mar 12, 2020 - May 28, 2020",Thursday,1 hr. 30 min.,15+ - Teens 15 or older,"Friendship,  Romance,  Life,  Medical ","Strong Friendship, Multiple Mains, Best Friends, Hospital, Slow Romance, Strong Female Lead, Multiple Couples, Slight Romance, Nice Male Lead, Bromance","Egg Is Coming, CJ ENM",3
3,Hospital Playlist 2,2021,Netflix,12,9.1,"Jun 17, 2021 - Sep 16, 2021",Thursday,1 hr. 40 min.,15+ - Teens 15 or older,"Friendship,  Romance,  Life,  Medical ","Workplace, Strong Friendship, Best Friends, Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Hospital","Egg Is Coming, CJ ENM",4
3,Hospital Playlist 2,2021,tvN,12,9.1,"Jun 17, 2021 - Sep 16, 2021",Thursday,1 hr. 40 min.,15+ - Teens 15 or older,"Friendship,  Romance,  Life,  Medical ","Workplace, Strong Friendship, Best Friends, Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Hospital","Egg Is Coming, CJ ENM",4
4,My Mister,2018,tvN,16,9.1,"Mar 21, 2018 - May 17, 2018","Wednesday,Thursday",1 hr. 17 min.,15+ - Teens 15 or older,"Psychological,  Life,  Drama,  Family ","Age Gap, Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Poor Female Lead, Workplace, Infidelity",Chorokbaem Media,5
5,Reply 1988,2015,tvN,20,9.1,"Nov  6, 2015 - Jan 16, 2016","Friday,Saturday",1 hr. 40 min.,15+ - Teens 15 or older,"Comedy,  Romance,  Youth,  Family ","Neighbors, Slice Of Life, Childhood Friends, Multiple Couples, Nostalgia, Poor Family, Love Triangle, Best Friends, Heartfelt, High School",CJ ENM,6
7,Prison Playbook,2017,Netflix,16,9.1,"Nov 22, 2017 - Jan 18, 2018","Wednesday,Thursday",1 hr. 32 min.,15+ - Teens 15 or older,"Comedy,  Crime,  Life,  Drama ","Prison, Bromance, Wrongfully Accused, Life Lesson, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster, Murder",tvN,8
7,Prison Playbook,2017,tvN,16,9.1,"Nov 22, 2017 - Jan 18, 2018","Wednesday,Thursday",1 hr. 32 min.,15+ - Teens 15 or older,"Comedy,  Crime,  Life,  Drama ","Prison, Bromance, Wrongfully Accused, Life Lesson, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster, Murder",tvN,8
8,Alchemy of Souls,2022,Netflix,20,9.0,"Jun 18, 2022 - Aug 28, 2022","Saturday,Sunday",1 hr. 20 min.,15+ - Teens 15 or older,"Action, Historical, Romance, Fantasy ","Magical Power, Supernatural, Transmigration, Strong Female Lead, Kind Male Lead, Multiple Mains, Master/Disciple Relationship, Master/Apprentice, Hidden Identity, Body Swap","Studio Dragon, High Quality",9
8,Alchemy of Souls,2022,tvN,20,9.0,"Jun 18, 2022 - Aug 28, 2022","Saturday,Sunday",1 hr. 20 min.,15+ - Teens 15 or older,"Action, Historical, Romance, Fantasy ","Magical Power, Supernatural, Transmigration, Strong Female Lead, Kind Male Lead, Multiple Mains, Master/Disciple Relationship, Master/Apprentice, Hidden Identity, Body Swap","Studio Dragon, High Quality",9
9,Extraordinary Attorney Woo,2022,ENA,16,9.0,"Jun 29, 2022 - Aug 18, 2022","Wednesday,Thursday",1 hr. 17 min.,15+ - Teens 15 or older,"Law, Romance, Life, Drama "," Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Law Firm, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character","AStory, KT Studio Genie, Nangman Crew",10
9,Extraordinary Attorney Woo,2022,Netflix,16,9.0,"Jun 29, 2022 - Aug 18, 2022","Wednesday,Thursday",1 hr. 17 min.,15+ - Teens 15 or older,"Law, Romance, Life, Drama "," Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Law Firm, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character","AStory, KT Studio Genie, Nangman Crew",10
10,Mr. Queen,2020,tvN,20,9.0,"Dec 12, 2020 - Feb 14, 2021","Saturday,Sunday",1 hr. 20 min.,15+ - Teens 15 or older,"Historical,  Mystery,  Comedy,  Romance ","Smart Male Lead, Transmigration, Calm Male Lead, Joseon Dynasty, Time Travel, Sassy Female Lead, Body Swap, Gender Swap, Eccentric Female Lead, Power Struggle","Crave Works, YG Entertainment",11
11,Mother,2018,tvN,16,9.0,"Jan 24, 2018 - Mar 15, 2018","Wednesday,Thursday",1 hr. 3 min.,15+ - Teens 15 or older,"Thriller,  Mystery,  Psychological,  Melodrama ","Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Motherhood, Psychopath, Cohabitation",The Unicorn,12
12,It's Okay to Not Be Okay,2020,Netflix,16,9.0,"Jun 20, 2020 - Aug  9, 2020","Saturday,Sunday",1 hr. 15 min.,15+ - Teens 15 or older,"Psychological,  Comedy,  Romance,  Drama ","Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry","Story TV, Gold Medalist",13
12,It's Okay to Not Be Okay,2020,tvN,16,9.0,"Jun 20, 2020 - Aug  9, 2020","Saturday,Sunday",1 hr. 15 min.,15+ - Teens 15 or older,"Psychological,  Comedy,  Romance,  Drama ","Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry","Story TV, Gold Medalist",13
13,Crash Landing on You,2019,Netflix,16,9.0,"Dec 14, 2019 - Feb 16, 2020","Sunday,Saturday",1 hr. 25 min.,15+ - Teens 15 or older,"Military,  Comedy,  Romance,  Political ","North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Rich Female Lead, North Korean, Soldier, Fate, Nice Male Lead","Studio Dragon, Culture Depot",14
13,Crash Landing on You,2019,tvN,16,9.0,"Dec 14, 2019 - Feb 16, 2020","Sunday,Saturday",1 hr. 25 min.,15+ - Teens 15 or older,"Military,  Comedy,  Romance,  Political ","North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Rich Female Lead, North Korean, Soldier, Fate, Nice Male Lead","Studio Dragon, Culture Depot",14
14,Vincenzo,2021,Netflix,20,9.0,"Feb 20, 2021 - May  2, 2021","Saturday,Sunday",1 hr. 25 min.,15+ - Teens 15 or older,"Comedy,  Law,  Crime,  Drama ","Mafia, Revenge, Smart Male Lead, Eccentric Female Lead, Injustice, Charming Male Lead, Bromance, Father-Daughter Relationship, Badass Male Lead, Smart Female Lead",Logos Film,15
14,Vincenzo,2021,tvN,20,9.0,"Feb 20, 2021 - May  2, 2021","Saturday,Sunday",1 hr. 25 min.,15+ - Teens 15 or older,"Comedy,  Law,  Crime,  Drama ","Mafia, Revenge, Smart Male Lead, Eccentric Female Lead, Injustice, Charming Male Lead, Bromance, Father-Daughter Relationship, Badass Male Lead, Smart Female Lead",Logos Film,15
15,Navillera,2021,Netflix,12,9.0,"Mar 22, 2021 - Apr 27, 2021","Monday,Tuesday",1 hr. 5 min.,15+ - Teens 15 or older,"Friendship,  Life,  Drama,  Family ","Ballet, Dream, Life Lesson, Old-Young Generation, Unusual Friendship, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Second Chance","Studio Dragon, The Great Show",16
15,Navillera,2021,tvN,12,9.0,"Mar 22, 2021 - Apr 27, 2021","Monday,Tuesday",1 hr. 5 min.,15+ - Teens 15 or older,"Friendship,  Life,  Drama,  Family ","Ballet, Dream, Life Lesson, Old-Young Generation, Unusual Friendship, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Second Chance","Studio Dragon, The Great Show",16
16,Signal,2016,tvN,16,9.0,"Jan 22, 2016 - Mar 12, 2016","Friday,Saturday",1 hr. 15 min.,15+ - Teens 15 or older,"Thriller,  Mystery,  Sci-Fi ","Different Timelines, Hwaseong Serial Murders, Murder, Criminal Profiler, Serial Killer, Tragic Past, Smart Female Lead, Corruption, Time Altering, Kidnapping",AStory,17
17,Mr. Sunshine,2018,Netflix,24,8.9,"Jul  7, 2018 - Sep 30, 2018","Saturday,Sunday",1 hr. 20 min.,15+ - Teens 15 or older,"Military,  Historical,  Romance,  Melodrama ","Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Soldier, Foreigner, Rebellion, Japanese Colonial Rule, Sismance","Studio Dragon, Hwa&Dam Pictures",18
17,Mr. Sunshine,2018,tvN,24,8.9,"Jul  7, 2018 - Sep 30, 2018","Saturday,Sunday",1 hr. 20 min.,15+ - Teens 15 or older,"Military,  Historical,  Romance,  Melodrama ","Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Soldier, Foreigner, Rebellion, Japanese Colonial Rule, Sismance","Studio Dragon, Hwa&Dam Pictures",18
18,Happiness,2021,tvN,12,8.9,"Nov  5, 2021 - Dec 11, 2021","Friday,Saturday",1 hr. 5 min.,15+ - Teens 15 or older,"Action,  Thriller,  Drama,  Fantasy ","Disease, Strong Female Lead, Survival, Virus, Fake Marriage, Zombies, Discrimination, Slow Burn Romance, Infectious Disease, Illness",Studio Dragon,19
19,Kingdom: Season 2,2020,Netflix,6,8.9,"Mar 13, 2020",Friday,45 min.,18+ Restricted (violence & profanity),"Thriller,  Historical,  Horror,  Supernatural ","Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Palace Politics, Greed",AStory,20
20,SKY Castle,2018,jTBC,20,8.9,"Nov 23, 2018 - Feb  1, 2019","Friday,Saturday",1 hr. 15 min.,15+ - Teens 15 or older,"Mystery,  Psychological,  Drama,  Family ","Multiple Mains, Social Commentary, Sibling, Medical, Social Satire, Female Centered Plot, Satire, Hospital, Mother-Daughter Relationship, Death","HB Entertainment, Drama House",21
21,Tomorrow,2022,MBC,16,8.9,"Apr 1, 2022 - May 21, 2022","Friday,Saturday",1 hr.,15+ - Teens 15 or older,"Action, Thriller, Drama, Fantasy ","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead","Studio N, Super Moon Pictures",22
21,Tomorrow,2022,Netflix,16,8.9,"Apr 1, 2022 - May 21, 2022","Friday,Saturday",1 hr.,15+ - Teens 15 or older,"Action, Thriller, Drama, Fantasy ","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead","Studio N, Super Moon Pictures",22
22,Healer,2014,KBS2,20,8.9,"Dec  8, 2014 - Feb 10, 2015","Monday,Tuesday",1 hr.,15+ - Teens 15 or older,"Action,  Thriller,  Mystery,  Romance ","Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Secret, Sassy Female Lead, Reporter, Trauma",Kim Jong-hak Production,23
23,Stranger,2017,Netflix,16,8.9,"Jun 10, 2017 - Jul 30, 2017","Saturday,Sunday",1 hr. 10 min.,15+ - Teens 15 or older,"Thriller,  Mystery,  Law,  Drama ","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead","Signal Entertainment Group, IOK Media",24
23,Stranger,2017,tvN,16,8.9,"Jun 10, 2017 - Jul 30, 2017","Saturday,Sunday",1 hr. 10 min.,15+ - Teens 15 or older,"Thriller,  Mystery,  Law,  Drama ","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead","Signal Entertainment Group, IOK Media",24
24,Twenty-Five Twenty-One,2022,Netflix,16,8.8,"Feb 12, 2022 - Apr 3, 2022","Saturday,Sunday",1 hr. 15 min.,15+ - Teens 15 or older,"Romance, Life, Drama, Melodrama ","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, IMF Crisis, High School To Working Life, High School, Competition, Enemies To Friends",Hwa&Dam Pictures,25
24,Twenty-Five Twenty-One,2022,tvN,16,8.8,"Feb 12, 2022 - Apr 3, 2022","Saturday,Sunday",1 hr. 15 min.,15+ - Teens 15 or older,"Romance, Life, Drama, Melodrama ","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, IMF Crisis, High School To Working Life, High School, Competition, Enemies To Friends",Hwa&Dam Pictures,25
